Frequency (Hz)	Bat_Species
59490.64692353	Big Brown Bat (Eptesicus fuscus)
27072.686990728762	Big Brown Bat (Eptesicus fuscus)
52966.829203360765	Big Brown Bat (Eptesicus fuscus)
26307.311736910353	Big Brown Bat (Eptesicus fuscus)
23884.712467967565	Big Brown Bat (Eptesicus fuscus)
20013.701005321	Big Brown Bat (Eptesicus fuscus)
29987.32431912668	Big Brown Bat (Eptesicus fuscus)
49869.48026552324	Big Brown Bat (Eptesicus fuscus)
21891.32298775505	Big Brown Bat (Eptesicus fuscus)
30342.5627125759	Big Brown Bat (Eptesicus fuscus)
21353.99386587717	Big Brown Bat (Eptesicus fuscus)
45373.29300888663	Big Brown Bat (Eptesicus fuscus)
39888.84116689655	Big Brown Bat (Eptesicus fuscus)
35415.047176766566	Big Brown Bat (Eptesicus fuscus)
49841.02321117844	Big Brown Bat (Eptesicus fuscus)
24115.21282639423	Big Brown Bat (Eptesicus fuscus)
38962.368163395535	Big Brown Bat (Eptesicus fuscus)
55661.40013854407	Big Brown Bat (Eptesicus fuscus)
25058.193871815736	Big Brown Bat (Eptesicus fuscus)
32828.27486933173	Big Brown Bat (Eptesicus fuscus)
36912.873933085066	Big Brown Bat (Eptesicus fuscus)
54304.67909930251	Big Brown Bat (Eptesicus fuscus)
29862.07906931288	Big Brown Bat (Eptesicus fuscus)
22535.269073146257	Big Brown Bat (Eptesicus fuscus)
26193.142130374254	Big Brown Bat (Eptesicus fuscus)
40196.17397264966	Big Brown Bat (Eptesicus fuscus)
22612.415716284	Big Brown Bat (Eptesicus fuscus)
26651.3521196664	Big Brown Bat (Eptesicus fuscus)
55154.81692975681	Big Brown Bat (Eptesicus fuscus)
29569.34633670673	Big Brown Bat (Eptesicus fuscus)
58647.97335755517	Big Brown Bat (Eptesicus fuscus)
40449.70659362159	Big Brown Bat (Eptesicus fuscus)
31757.157019727296	Big Brown Bat (Eptesicus fuscus)
54822.04575037323	Big Brown Bat (Eptesicus fuscus)
57624.24817277647	Big Brown Bat (Eptesicus fuscus)
51260.86965516208	Big Brown Bat (Eptesicus fuscus)
32984.66327225462	Big Brown Bat (Eptesicus fuscus)
41448.28309299453	Big Brown Bat (Eptesicus fuscus)
48911.41704473739	Big Brown Bat (Eptesicus fuscus)
32974.60687422165	Big Brown Bat (Eptesicus fuscus)
32219.84112488106	Big Brown Bat (Eptesicus fuscus)
56271.70409093011	Big Brown Bat (Eptesicus fuscus)
54569.15949399935	Big Brown Bat (Eptesicus fuscus)
41922.18344411184	Big Brown Bat (Eptesicus fuscus)
38357.712142100274	Big Brown Bat (Eptesicus fuscus)
59254.197895055746	Big Brown Bat (Eptesicus fuscus)
56949.046749765235	Big Brown Bat (Eptesicus fuscus)
29565.102987009766	Big Brown Bat (Eptesicus fuscus)
22778.961901011557	Big Brown Bat (Eptesicus fuscus)
39737.76481106998	Big Brown Bat (Eptesicus fuscus)
39364.98717051788	Big Brown Bat (Eptesicus fuscus)
56203.94844750201	Big Brown Bat (Eptesicus fuscus)
55742.74556005438	Big Brown Bat (Eptesicus fuscus)
43055.20196668584	Big Brown Bat (Eptesicus fuscus)
53204.308713546605	Big Brown Bat (Eptesicus fuscus)
51311.26311932693	Big Brown Bat (Eptesicus fuscus)
40578.57974510404	Big Brown Bat (Eptesicus fuscus)
35621.158530860535	Big Brown Bat (Eptesicus fuscus)
43327.40538498407	Big Brown Bat (Eptesicus fuscus)
22916.580606694275	Big Brown Bat (Eptesicus fuscus)
56223.653777433334	Big Brown Bat (Eptesicus fuscus)
34322.5511021865	Big Brown Bat (Eptesicus fuscus)
37340.56848363367	Big Brown Bat (Eptesicus fuscus)
40508.77474802788	Big Brown Bat (Eptesicus fuscus)
32206.42418691561	Big Brown Bat (Eptesicus fuscus)
42797.2377052828	Big Brown Bat (Eptesicus fuscus)
30969.212995978276	Big Brown Bat (Eptesicus fuscus)
59051.24416324151	Big Brown Bat (Eptesicus fuscus)
37066.35057703499	Big Brown Bat (Eptesicus fuscus)
52238.908725578585	Big Brown Bat (Eptesicus fuscus)
36713.799173617546	Big Brown Bat (Eptesicus fuscus)
38441.349948958166	Big Brown Bat (Eptesicus fuscus)
34453.2151281437	Big Brown Bat (Eptesicus fuscus)
23941.502185212135	Big Brown Bat (Eptesicus fuscus)
56325.97294595366	Big Brown Bat (Eptesicus fuscus)
27980.686705173684	Big Brown Bat (Eptesicus fuscus)
55825.47567534845	Big Brown Bat (Eptesicus fuscus)
34184.43969213224	Big Brown Bat (Eptesicus fuscus)
34087.874393588994	Big Brown Bat (Eptesicus fuscus)
52874.7417592619	Big Brown Bat (Eptesicus fuscus)
31127.634370902953	Big Brown Bat (Eptesicus fuscus)
36928.66892138888	Big Brown Bat (Eptesicus fuscus)
54613.4085684644	Big Brown Bat (Eptesicus fuscus)
47577.11863250927	Big Brown Bat (Eptesicus fuscus)
33221.0548993593	Big Brown Bat (Eptesicus fuscus)
40735.280080092445	Big Brown Bat (Eptesicus fuscus)
40961.48999178918	Big Brown Bat (Eptesicus fuscus)
59301.12850637723	Big Brown Bat (Eptesicus fuscus)
32353.427761243736	Big Brown Bat (Eptesicus fuscus)
20323.55941684989	Big Brown Bat (Eptesicus fuscus)
31517.436077027927	Big Brown Bat (Eptesicus fuscus)
56833.53249797587	Big Brown Bat (Eptesicus fuscus)
55101.71367335098	Big Brown Bat (Eptesicus fuscus)
41462.343047521965	Big Brown Bat (Eptesicus fuscus)
41664.3166050757	Big Brown Bat (Eptesicus fuscus)
34930.9067836856	Big Brown Bat (Eptesicus fuscus)
28833.224501913377	Big Brown Bat (Eptesicus fuscus)
51346.49166668269	Big Brown Bat (Eptesicus fuscus)
48372.50694461151	Big Brown Bat (Eptesicus fuscus)
31006.98995205603	Big Brown Bat (Eptesicus fuscus)
46848.8312789871	Big Brown Bat (Eptesicus fuscus)
55947.88934341809	Big Brown Bat (Eptesicus fuscus)
27362.444752629133	Big Brown Bat (Eptesicus fuscus)
39607.786448666186	Big Brown Bat (Eptesicus fuscus)
34659.907756541346	Big Brown Bat (Eptesicus fuscus)
33778.02128166477	Big Brown Bat (Eptesicus fuscus)
57563.28497608592	Big Brown Bat (Eptesicus fuscus)
48069.57503118226	Big Brown Bat (Eptesicus fuscus)
59291.98324301038	Big Brown Bat (Eptesicus fuscus)
37447.813116626145	Big Brown Bat (Eptesicus fuscus)
29506.129666993977	Big Brown Bat (Eptesicus fuscus)
31442.21794763224	Big Brown Bat (Eptesicus fuscus)
56969.046820914155	Big Brown Bat (Eptesicus fuscus)
31260.356011996235	Big Brown Bat (Eptesicus fuscus)
26693.87586075375	Big Brown Bat (Eptesicus fuscus)
56083.61437745484	Big Brown Bat (Eptesicus fuscus)
45654.81054006453	Big Brown Bat (Eptesicus fuscus)
39352.15593301651	Mexican Free-tailed Bat (Tadarida brasiliensis)
43716.70315266523	Mexican Free-tailed Bat (Tadarida brasiliensis)
37483.87170199742	Mexican Free-tailed Bat (Tadarida brasiliensis)
26215.946929845068	Mexican Free-tailed Bat (Tadarida brasiliensis)
32927.80895980665	Mexican Free-tailed Bat (Tadarida brasiliensis)
48049.193694372705	Mexican Free-tailed Bat (Tadarida brasiliensis)
40274.40527478236	Mexican Free-tailed Bat (Tadarida brasiliensis)
43193.27206679115	Mexican Free-tailed Bat (Tadarida brasiliensis)
45727.314101852804	Mexican Free-tailed Bat (Tadarida brasiliensis)
47307.47475337515	Mexican Free-tailed Bat (Tadarida brasiliensis)
49616.86898635297	Mexican Free-tailed Bat (Tadarida brasiliensis)
42152.83874247974	Mexican Free-tailed Bat (Tadarida brasiliensis)
34198.49976389967	Mexican Free-tailed Bat (Tadarida brasiliensis)
30214.36856623974	Mexican Free-tailed Bat (Tadarida brasiliensis)
45969.265023676126	Mexican Free-tailed Bat (Tadarida brasiliensis)
41573.77964013704	Mexican Free-tailed Bat (Tadarida brasiliensis)
33512.38261103901	Mexican Free-tailed Bat (Tadarida brasiliensis)
39599.15880244431	Mexican Free-tailed Bat (Tadarida brasiliensis)
49737.73506411706	Mexican Free-tailed Bat (Tadarida brasiliensis)
31331.76143195521	Mexican Free-tailed Bat (Tadarida brasiliensis)
41591.594212117925	Mexican Free-tailed Bat (Tadarida brasiliensis)
45026.35033675247	Mexican Free-tailed Bat (Tadarida brasiliensis)
30063.417039645603	Mexican Free-tailed Bat (Tadarida brasiliensis)
43732.04456893144	Mexican Free-tailed Bat (Tadarida brasiliensis)
34547.1778121434	Mexican Free-tailed Bat (Tadarida brasiliensis)
30037.004701301208	Mexican Free-tailed Bat (Tadarida brasiliensis)
33899.66613913719	Mexican Free-tailed Bat (Tadarida brasiliensis)
27875.66219308325	Mexican Free-tailed Bat (Tadarida brasiliensis)
31746.65281760046	Mexican Free-tailed Bat (Tadarida brasiliensis)
37267.99029168759	Mexican Free-tailed Bat (Tadarida brasiliensis)
45993.835467943936	Mexican Free-tailed Bat (Tadarida brasiliensis)
28579.534732129985	Mexican Free-tailed Bat (Tadarida brasiliensis)
44486.5427095172	Mexican Free-tailed Bat (Tadarida brasiliensis)
45287.46099580868	Mexican Free-tailed Bat (Tadarida brasiliensis)
31260.918777556515	Mexican Free-tailed Bat (Tadarida brasiliensis)
34537.802612855914	Mexican Free-tailed Bat (Tadarida brasiliensis)
46407.665267084594	Mexican Free-tailed Bat (Tadarida brasiliensis)
28474.28442752527	Mexican Free-tailed Bat (Tadarida brasiliensis)
49929.47532043203	Mexican Free-tailed Bat (Tadarida brasiliensis)
44980.504473887006	Mexican Free-tailed Bat (Tadarida brasiliensis)
39856.83988077296	Mexican Free-tailed Bat (Tadarida brasiliensis)
44439.44510076622	Mexican Free-tailed Bat (Tadarida brasiliensis)
49035.04190338121	Mexican Free-tailed Bat (Tadarida brasiliensis)
37896.20757347581	Mexican Free-tailed Bat (Tadarida brasiliensis)
33414.871915683165	Mexican Free-tailed Bat (Tadarida brasiliensis)
37270.6400994684	Mexican Free-tailed Bat (Tadarida brasiliensis)
41775.26613632015	Mexican Free-tailed Bat (Tadarida brasiliensis)
46647.647867351196	Mexican Free-tailed Bat (Tadarida brasiliensis)
44197.015127304716	Mexican Free-tailed Bat (Tadarida brasiliensis)
34186.67117470848	Mexican Free-tailed Bat (Tadarida brasiliensis)
37316.888596899196	Mexican Free-tailed Bat (Tadarida brasiliensis)
35993.93958774981	Mexican Free-tailed Bat (Tadarida brasiliensis)
33504.39159357602	Mexican Free-tailed Bat (Tadarida brasiliensis)
29551.05256259418	Mexican Free-tailed Bat (Tadarida brasiliensis)
40435.61500132728	Mexican Free-tailed Bat (Tadarida brasiliensis)
41592.61908016793	Mexican Free-tailed Bat (Tadarida brasiliensis)
48978.103030887556	Mexican Free-tailed Bat (Tadarida brasiliensis)
46618.384009542286	Mexican Free-tailed Bat (Tadarida brasiliensis)
47546.1140863426	Mexican Free-tailed Bat (Tadarida brasiliensis)
40382.9441240253	Mexican Free-tailed Bat (Tadarida brasiliensis)
26691.066179515678	Mexican Free-tailed Bat (Tadarida brasiliensis)
42658.878340749725	Mexican Free-tailed Bat (Tadarida brasiliensis)
46909.86581166682	Mexican Free-tailed Bat (Tadarida brasiliensis)
40097.821043816184	Mexican Free-tailed Bat (Tadarida brasiliensis)
39189.654554352084	Mexican Free-tailed Bat (Tadarida brasiliensis)
45808.71094344125	Mexican Free-tailed Bat (Tadarida brasiliensis)
36106.819007041326	Mexican Free-tailed Bat (Tadarida brasiliensis)
29889.448825683292	Mexican Free-tailed Bat (Tadarida brasiliensis)
25280.40126851421	Mexican Free-tailed Bat (Tadarida brasiliensis)
30472.185438083226	Mexican Free-tailed Bat (Tadarida brasiliensis)
29381.88254809398	Mexican Free-tailed Bat (Tadarida brasiliensis)
44686.51494105293	Mexican Free-tailed Bat (Tadarida brasiliensis)
46639.199021170294	Mexican Free-tailed Bat (Tadarida brasiliensis)
32098.89202649299	Mexican Free-tailed Bat (Tadarida brasiliensis)
30958.36199576368	Mexican Free-tailed Bat (Tadarida brasiliensis)
30592.895208024824	Mexican Free-tailed Bat (Tadarida brasiliensis)
25504.449758289367	Mexican Free-tailed Bat (Tadarida brasiliensis)
47594.241512484674	Mexican Free-tailed Bat (Tadarida brasiliensis)
29771.93058609688	Mexican Free-tailed Bat (Tadarida brasiliensis)
25061.03287745945	Mexican Free-tailed Bat (Tadarida brasiliensis)
35186.86755071042	Mexican Free-tailed Bat (Tadarida brasiliensis)
28678.065537254817	Mexican Free-tailed Bat (Tadarida brasiliensis)
30553.902075351954	Mexican Free-tailed Bat (Tadarida brasiliensis)
29218.44614271086	Mexican Free-tailed Bat (Tadarida brasiliensis)
33036.47633216387	Mexican Free-tailed Bat (Tadarida brasiliensis)
35656.04794920727	Mexican Free-tailed Bat (Tadarida brasiliensis)
25761.09161418774	Mexican Free-tailed Bat (Tadarida brasiliensis)
26554.27760765695	Mexican Free-tailed Bat (Tadarida brasiliensis)
29495.262352490212	Mexican Free-tailed Bat (Tadarida brasiliensis)
48826.830890640864	Mexican Free-tailed Bat (Tadarida brasiliensis)
36414.8798714531	Mexican Free-tailed Bat (Tadarida brasiliensis)
48941.43887934026	Mexican Free-tailed Bat (Tadarida brasiliensis)
28777.212094094815	Mexican Free-tailed Bat (Tadarida brasiliensis)
31872.064540893312	Mexican Free-tailed Bat (Tadarida brasiliensis)
38341.37707811284	Mexican Free-tailed Bat (Tadarida brasiliensis)
29359.411911795643	Mexican Free-tailed Bat (Tadarida brasiliensis)
28515.2814304781	Mexican Free-tailed Bat (Tadarida brasiliensis)
49366.23643223764	Mexican Free-tailed Bat (Tadarida brasiliensis)
27578.042594105525	Mexican Free-tailed Bat (Tadarida brasiliensis)
37169.63208513375	Mexican Free-tailed Bat (Tadarida brasiliensis)
36176.198283454665	Mexican Free-tailed Bat (Tadarida brasiliensis)
39035.18806486788	Mexican Free-tailed Bat (Tadarida brasiliensis)
45198.93253534331	Mexican Free-tailed Bat (Tadarida brasiliensis)
38057.070764460805	Mexican Free-tailed Bat (Tadarida brasiliensis)
42031.885985080415	Mexican Free-tailed Bat (Tadarida brasiliensis)
41174.55073676791	Mexican Free-tailed Bat (Tadarida brasiliensis)
26654.237755222744	Mexican Free-tailed Bat (Tadarida brasiliensis)
33270.44468588254	Mexican Free-tailed Bat (Tadarida brasiliensis)
42047.692526475905	Mexican Free-tailed Bat (Tadarida brasiliensis)
34012.76806017731	Mexican Free-tailed Bat (Tadarida brasiliensis)
49422.75888970886	Mexican Free-tailed Bat (Tadarida brasiliensis)
38247.30600715673	Mexican Free-tailed Bat (Tadarida brasiliensis)
47157.54483095114	Mexican Free-tailed Bat (Tadarida brasiliensis)
45678.61142202836	Mexican Free-tailed Bat (Tadarida brasiliensis)
41718.24688818831	Mexican Free-tailed Bat (Tadarida brasiliensis)
36262.68695483107	Mexican Free-tailed Bat (Tadarida brasiliensis)
29416.75836459478	Mexican Free-tailed Bat (Tadarida brasiliensis)
47152.89276295909	Mexican Free-tailed Bat (Tadarida brasiliensis)
26555.017665642743	Mexican Free-tailed Bat (Tadarida brasiliensis)
42871.30193076396	Mexican Free-tailed Bat (Tadarida brasiliensis)
47476.75227227906	Mexican Free-tailed Bat (Tadarida brasiliensis)
42910.43748883248	Mexican Free-tailed Bat (Tadarida brasiliensis)
31686.65993126259	Mexican Free-tailed Bat (Tadarida brasiliensis)
25741.363309412987	Mexican Free-tailed Bat (Tadarida brasiliensis)
35093.77219793057	Mexican Free-tailed Bat (Tadarida brasiliensis)
99276.16304641693	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
87580.97720346993	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
107227.45344915194	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
76367.18613320585	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
75485.2882362239	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
93646.10573362834	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
86722.79358612082	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
100933.79495872802	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
82622.75186843719	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
76895.00903876664	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
106241.93405384297	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
105858.39685357777	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
76771.71403197352	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
77553.94141931353	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
76858.91634701297	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
75617.24450073135	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
101605.65330438969	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
102778.80197087576	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
87919.89834689347	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
90183.6914349341	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
102285.9531814103	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
92889.89897000487	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
106689.09126085957	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
83276.08035027098	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
107302.40376886127	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
109688.37412038905	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
93883.82752962908	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
97779.5292260913	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
79036.0872951881	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
97871.57865141425	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
86570.95209287168	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
100852.80774109316	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
107658.4513825546	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
88484.95909643213	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
107501.28490107656	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
87376.24049264604	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
81403.76206971315	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
84828.05083489863	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
76206.1984969169	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
75862.12478895123	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
89251.35549095592	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
76559.04238408177	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
94622.5063475716	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
80002.22651725302	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
83855.64105250762	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
94004.43547027494	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
104552.30110828525	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
82366.82278777476	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
107047.68046573903	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
83245.42069205201	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
79298.68467632182	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
100048.82342770991	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
105703.944820081	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
88213.04459588716	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
95720.58693094058	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
96154.28467298711	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
108787.85319318883	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
109063.4636346884	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
105058.66694040195	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
79206.5035758275	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
97274.43758300142	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
83510.78590301638	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
89851.19873785284	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
109140.76896141472	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
77993.80580117204	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
96613.02170241716	Greater Horseshoe Bat (Rhinolophus ferrumequinum)
